amount,hour,location_change,device_change,txn_count_24h,fraud
49985.26,5,1,1,10,1
25778.55,9,1,0,10,1
48154.35,4,1,1,7,1
37596.71,18,0,0,15,0
28674.06,10,1,1,7,1
39897.75,23,1,1,6,1
27260.03,17,1,0,11,1
39156.2,21,0,1,14,1
11893.72,17,0,1,2,0
1102.93,17,1,0,2,0
39103.24,14,0,1,3,0
44447.08,12,1,0,15,1
33945.88,10,0,0,8,0
31929.15,5,1,1,14,1
23255.67,15,1,0,11,1
21233.94,9,0,1,10,0
20176.96,13,1,0,14,1
39269.58,13,0,0,2,0
29549.01,16,1,1,3,1
637.73,6,1,0,3,0
1980.29,15,0,0,15,0
47051.25,5,0,0,14,0
39022.76,13,1,1,12,1
23073.58,7,0,1,10,0
14000.93,7,0,0,12,0
5579.1,1,0,0,3,0
24887.78,7,1,1,4,1
22122.57,22,0,1,7,0
2348.92,9,1,0,9,0
7232.02,15,0,1,8,0
1680.89,17,0,1,13,1
21265.41,5,0,0,4,0
21562.14,11,1,1,13,1
21455.23,16,0,1,10,0
46913.2,11,1,1,9,1
1376.8,10,0,0,14,0
1647.81,7,1,0,2,0
22922.92,2,1,1,1,1
41843.23,10,0,1,7,0
36664.86,23,1,1,12,1
41023.65,21,1,0,3,1
12403.1,8,1,1,10,0
25523.76,22,1,0,6,1
7994.26,11,1,1,5,0
21094.52,17,0,1,6,0
28446.43,17,1,0,7,1
31623.21,10,1,0,6,1
40686.77,8,1,0,1,1
30239.83,4,1,0,5,1
12034.04,7,1,1,5,0
24896.9,22,1,0,4,1
6448.23,19,0,0,9,0
26387.39,10,0,0,2,0
40816.11,6,0,1,11,1
30884.19,8,1,1,13,1
11767.46,14,1,1,1,0
32935.58,7,0,1,5,0
10972.87,3,0,1,2,0
3287.17,17,1,0,5,0
48910.72,13,0,1,10,0
30394.3,14,0,0,13,0
14491.57,10,0,0,11,0
15459.14,6,0,0,11,0
35797.54,7,1,0,7,1
45103.19,3,1,0,12,1
204.35,3,0,1,12,1
6551.92,16,0,0,10,0
21662.85,18,1,1,3,1
45545.96,5,1,1,1,1
27826.03,20,0,1,13,1
20149.21,18,0,1,2,0
11582.27,10,1,0,13,0
48597.89,11,1,0,2,1
20091.92,7,1,0,13,1
41696.27,2,1,0,9,1
15970.09,3,0,0,14,1
35034.96,4,0,1,6,1
38849.04,12,1,0,3,1
15690.14,23,0,1,4,0
47831.55,17,1,0,11,1
37741.81,8,0,1,8,0
35538.59,13,0,1,10,0
40538.44,15,0,0,12,0
37000.78,6,0,1,5,0
40879.94,21,1,1,10,1
19837.94,7,0,0,4,0
443.67,10,0,1,8,0
34449.56,6,1,1,14,1
29816.0,1,0,1,5,1
47332.34,6,0,1,2,0
48738.78,22,0,0,1,0
23269.93,13,1,1,9,1
21948.98,7,1,1,8,1
18977.68,5,1,0,10,0
26120.14,23,1,0,9,1
47814.45,23,1,0,14,1
5518.8,14,1,0,5,0
42085.15,5,1,1,2,1
15901.16,2,1,1,10,1
3096.43,17,1,0,15,0
31236.84,1,0,0,6,1
26770.19,9,0,0,15,0
47155.69,23,1,0,2,1
49621.9,2,0,0,8,1
2622.39,20,1,1,15,1
13242.8,22,0,1,12,1
28086.67,3,1,0,2,1
11424.92,12,0,1,7,0
8015.03,6,0,0,1,0
10984.93,10,0,0,12,0
19831.28,11,1,1,5,0
49212.17,10,0,1,3,0
13270.46,2,1,1,3,0
36370.98,15,1,1,12,1
23504.47,13,1,0,10,1
30206.5,6,0,1,7,0
9019.29,10,1,0,7,0
10773.87,5,1,1,2,0
7502.94,12,0,1,2,0
19425.25,17,1,0,3,0
32211.98,21,1,0,3,1
29739.38,7,1,1,7,1
16541.65,19,0,1,3,0
25397.61,1,0,0,4,1
9736.17,21,1,1,4,0
44053.74,4,1,0,7,1
29009.42,16,1,0,6,1
40956.37,20,1,0,8,1
624.28,12,1,1,1,0
17240.84,14,0,0,2,0
28160.25,21,0,1,10,0
19643.25,10,1,1,11,1
3341.36,3,1,0,14,0
17757.86,11,1,0,13,0
41981.88,19,0,1,8,0
11373.0,2,0,1,1,0
49380.0,12,0,0,9,0
30262.9,11,0,1,9,0
8232.91,9,0,1,2,0
25592.9,13,0,1,15,1
22093.79,19,1,0,8,1
28947.09,20,1,0,15,1
26245.69,2,0,1,1,1
23215.65,3,1,1,12,1
11506.5,1,1,1,14,1
45730.13,14,1,1,8,1
9788.54,0,1,0,4,0
23348.45,13,0,1,7,0
5570.69,11,1,0,10,0
7668.96,3,0,0,12,0
43532.76,20,1,0,3,1
48200.85,21,0,0,13,0
31852.14,17,0,1,1,0
7196.74,20,0,0,13,0
31322.27,4,1,1,1,1
42563.92,0,0,0,14,1
32056.26,22,1,1,8,1
43252.3,15,0,0,1,0
24760.66,8,1,1,9,1
47543.23,11,0,1,6,0
19954.71,16,1,0,6,0
46857.84,5,1,0,2,1
42439.72,13,0,0,14,0
26132.69,5,1,0,11,1
8118.93,19,1,1,4,0
12962.98,22,1,1,7,0
44571.97,18,0,0,5,0
48964.02,18,1,0,7,1
29399.12,22,0,0,13,0
1764.0,11,0,1,1,0
45343.8,13,0,1,10,0
45833.67,16,0,1,8,0
12003.47,14,0,0,6,0
4565.08,2,1,0,5,0
36868.26,21,0,0,9,0
19025.61,3,0,0,1,1
29212.55,6,0,0,3,0
3458.67,22,1,1,14,1
40452.12,3,1,0,4,1
17000.92,10,1,1,13,1
13967.4,16,0,0,11,0
35319.09,14,1,0,9,1
2938.71,17,1,0,8,0
46760.79,5,1,1,15,1
46619.19,16,1,0,2,1
33110.35,20,1,1,6,1
47647.29,3,1,1,7,1
22943.32,0,0,0,1,1
42643.74,21,0,0,3,0
22571.77,6,1,0,7,1
46574.21,23,1,1,12,1
34116.29,6,1,0,4,1
157.94,21,0,0,5,0
15872.25,15,1,0,10,0
10982.97,5,1,0,11,0
42002.81,16,1,0,13,1
29075.19,23,0,0,15,0
31427.68,6,0,1,5,0
19422.74,3,0,1,8,1
33019.69,7,0,1,4,0
27854.74,22,1,1,13,1
28962.51,16,0,0,2,0
41708.17,3,1,0,4,1
15302.52,10,1,1,12,1
2346.76,21,0,0,6,0
25359.74,22,0,1,5,0
33096.54,11,1,0,2,1
15620.36,23,0,0,2,0
19557.23,21,0,0,10,0
37728.55,11,1,1,4,1
47459.16,9,1,0,6,1
10900.67,4,0,1,8,0
37485.26,16,0,0,5,0
4819.36,2,1,1,11,1
25121.66,11,0,1,11,1
2810.45,6,0,1,12,1
11120.2,11,0,0,10,0
47721.44,9,0,1,1,0
3875.39,13,0,1,14,1
46881.7,5,1,0,1,1
23324.91,3,0,0,11,1
36607.8,19,0,1,13,1
49198.48,2,0,1,8,1
16136.13,16,1,1,1,0
4225.01,13,1,1,2,0
37642.97,20,1,1,9,1
1602.31,2,1,1,14,1
14810.66,5,0,1,3,0
49951.74,22,1,0,10,1
17845.02,9,1,1,14,1
22884.1,16,0,0,12,0
1113.14,2,1,0,14,0
47524.52,22,1,0,5,1
36404.94,21,1,1,6,1
15008.36,15,1,0,15,0
25654.45,20,1,1,2,1
42063.81,12,0,0,8,0
27644.82,20,0,0,3,0
4187.96,7,0,0,1,0
33472.51,9,0,1,12,1
49572.8,23,0,1,1,0
27995.85,13,0,0,13,0
1729.24,2,1,0,13,0
28435.56,17,1,1,15,1
4148.55,21,1,0,11,0
14851.52,0,1,0,11,0
15688.54,23,0,0,10,0
1385.38,14,0,1,2,0
48829.81,22,1,0,3,1
47746.18,15,0,1,4,0
3507.38,4,1,0,14,0
9594.92,9,1,0,4,0
16217.12,22,0,1,8,0
35325.21,13,0,0,8,0
47507.39,12,1,1,1,1
45448.5,10,0,0,9,0
38409.95,7,1,0,4,1
327.4,10,0,1,15,1
5407.79,5,0,0,8,0
48498.34,8,0,1,11,1
49920.11,20,0,1,5,0
41789.87,13,1,1,7,1
48690.69,17,1,0,10,1
37408.92,20,1,1,10,1
41001.2,11,0,1,15,1
30186.08,23,1,0,11,1
26102.71,19,0,1,14,1
44931.31,22,0,0,4,0
28208.17,20,1,1,7,1
38704.93,5,1,1,3,1
34269.66,15,0,0,3,0
40477.62,10,1,0,1,1
5942.87,5,0,1,1,0
6911.15,11,0,0,9,0
8216.11,0,0,1,4,0
33957.49,2,0,0,8,1
3737.79,18,1,0,2,0
34982.63,18,1,0,11,1
27922.77,21,0,1,4,0
505.91,21,0,0,11,0
23405.98,13,0,0,12,0
7292.37,17,0,0,13,0
41276.97,22,0,1,5,0
35021.64,11,1,0,6,1
48095.41,20,0,0,6,0
1299.89,7,1,0,4,0
41877.77,6,1,0,9,1
2806.06,21,1,0,10,0
40022.4,20,0,0,5,0
783.01,21,0,0,9,0
7288.2,10,1,1,15,1
30149.57,3,0,0,12,1
15814.16,22,1,0,15,0
38351.57,14,0,0,9,0
3415.48,4,0,0,3,0
